规则,药品名,拼音首字母,医保编码数,KP ID
药品区分性别使用,黄体酮注射液(Ⅱ),httzsy,2,31329
药品区分性别使用,活血调经丸,hxtjw,5,31574
药品区分性别使用,化瘀固精合剂,hygjhj,4,31571
药品区分性别使用,化瘀舒经胶囊,hysjjn,4,31572
药品区分性别使用,经带宁胶囊,jdnjn,2,31584
药品区分性别使用,结合雌激素乳膏,jhcjsrg,2,31583
药品区分性别使用,甲磺酸酚妥拉明分散片,jhsftlmfsp,6,31369
药品区分性别使用,甲磺酸酚妥拉明胶囊,jhsftlmjn,8,31370
药品区分性别使用,甲磺酸酚妥拉明颗粒,jhsftlmkl,1,31371
药品区分性别使用,甲磺酸酚妥拉明片,jhsftlmp,9,31372
药品区分性别使用,聚甲酚磺醛凝胶,jjfhqnj,1,31375
药品区分性别使用,聚甲酚磺醛栓,jjfhqs,18,31247
药品区分性别使用,聚甲酚磺醛阴道栓,jjfhqyds,33,31248
药品区分性别使用,经前舒颗粒,jqskl,2,31332
药品区分性别使用,健身安胎丸,jsatw,1,31580
药品区分性别使用,金锁固精丸,jsgjw,77,31330
药品区分性别使用,金锁固精丸(浓缩丸),jsgjwnsw,25,31331
药品区分性别使用,经舒胶囊,jsjn,3,31333
药品区分性别使用,经舒颗粒,jskl,2,31334
药品区分性别使用,加味八珍益母膏,jwbzymg,5,31575
药品区分性别使用,加味八珍益母胶囊,jwbzymjn,2,31576
药品区分性别使用,加味益母草膏,jwymcg,8,31577
药品区分性别使用,经血宁胶囊,jxnjn,2,31585
药品区分性别使用,甲硝维参阴道膨胀栓,jxwcydpzs,4,31578
药品区分性别使用,甲硝维参阴道栓,jxwcyds,7,31579
药品区分性别使用,甲硝唑呋喃唑酮栓,jxzfnzts,5,31373
药品区分性别使用,甲硝唑阴道凝胶,jxzydnj,5,31374
药品区分性别使用,甲硝唑阴道泡腾片,jxzydptp,49,31246
药品区分性别使用,健阳胶囊,jyjn,2,31581
药品区分性别使用,健阳片,jyp,5,31582
药品区分性别使用,枸橼酸托瑞米芬片,jystrmfp,7,31328
药品区分性别使用,枸橼酸西地那非口崩片,jysxdnfkbp,114,31565
药品区分性别使用,枸橼酸西地那非片,jysxdnfp,382,31566
药品区分性别使用,卡贝缩宫素注射液,kbsgszsy,24,31249
药品区分性别使用,坤宝丸,kbw,60,31595
药品区分性别使用,康妇灵胶囊,kfljn,3,31586
药品区分性别使用,康复灵栓,kfls,9,31587
药品区分性别使用,康妇炎胶囊,kfyjn,3,31251
药品区分性别使用,抗妇炎胶囊,kfyjn,4,31252
药品区分性别使用,抗宫炎分散片,kgyfsp,12,31588
药品区分性别使用,抗宫炎胶囊,kgyjn,15,31336
药品区分性别使用,抗宫炎颗粒,kgykl,6,31253
药品区分性别使用,抗宫炎片,kgyp,68,31254
药品区分性别使用,抗宫炎软胶囊,kgyrjn,12,31589
药品区分性别使用,抗宫炎丸,kgyw,2,31590
药品区分性别使用,坤净栓,kjs,14,31596
药品区分性别使用,克林霉素磷酸酯栓,klmslszs,3,31376
药品区分性别使用,克林霉素磷酸酯阴道片,klmslszydp,2,31378
药品区分性别使用,克林霉素磷酸酯阴道泡腾片,klmslszydptp,6,31377
药品区分性别使用,克林霉素磷酸酯阴道用乳膏,klmslszydyrg,2,31379
药品区分性别使用,坤灵丸,klw,12,31597
药品区分性别使用,克霉唑阴道片,kmzydp,58,31256
药品区分性别使用,克霉唑阴道膨胀栓,kmzydpzs,9,31255
药品区分性别使用,坤宁口服液,knkfy,7,31339
药品区分性别使用,坤宁颗粒,knkl,3,31338
药品区分性别使用,卡前列甲酯栓,kqljzs,3,31335
药品区分性别使用,卡前列素氨丁三醇注射液,kqlsadsczsy,22,31250
药品区分性别使用,苦参碱栓,ksjs,31,31591
药品区分性别使用,苦参碱阴道膨胀栓,ksjydpzs,1,31592
药品区分性别使用,苦参膜,ksm,3,31593
药品区分性别使用,苦参凝胶,ksnj,5,31337
药品区分性别使用,苦参栓,kss,17,31594
药品区分性别使用,坤泰胶囊,ktjn,8,31340
药品区分性别使用,坤心宁颗粒,kxnkl,1,31341
药品区分性别使用,坤元通乳口服液,kytrkfy,1,31598
药品区分性别使用,氯喹那多/普罗雌烯阴道片,lkndplcxydp,3,31257
药品区分性别使用,氯喹那多-普罗雌烯阴道片,lkndplcxydp,10,31258
药品区分性别使用,路路通益母膏,lltymg,1,31601
药品区分性别使用,氯霉素阴道软胶囊,lmsydrjn,3,31380
药品区分性别使用,乐孕宁口服液,lynkfy,5,31600
药品区分性别使用,乐孕宁颗粒,lynkl,3,31599
药品区分性别使用,麦当乳通颗粒,mdrtkl,2,31602
药品区分性别使用,灭滴栓,mds,2,31603
药品区分性别使用,马来酸麦角新碱注射液,mlsmjxjzsy,6,31342
药品区分性别使用,母乳多颗粒,mrdkl,5,31604
药品区分性别使用,男宝胶囊,nbjn,75,31605
药品区分性别使用,女宝胶囊,nbjn,35,31612
药品区分性别使用,男春宝胶囊,ncbjn,5,31606
药品区分性别使用,男春宝颗粒,ncbkl,2,31607
药品区分性别使用,诺氟沙星栓,nfsxs,1,31611
药品区分性别使用,暖宫孕子胶囊,ngyzjn,9,31608
药品区分性别使用,暖宫孕子片,ngyzp,2,31609
药品区分性别使用,暖宫孕子丸,ngyzw,23,31610
药品区分性别使用,女金胶囊,njjn,2,31343
药品区分性别使用,女金片,njp,20,31259
药品区分性别使用,女金丸,njw,76,31260
药品区分性别使用,女科十珍丸,nkszw,2,31613
药品区分性别使用,女珍颗粒,nzkl,3,31344
药品区分性别使用,普罗雌烯乳膏,plcxrg,2,31261
药品区分性别使用,普罗雌烯阴道胶丸,plcxydjw,2,31262
药品区分性别使用,普罗雌烯阴道用软胶囊,plcxydyrjn,3,31263
药品区分性别使用,普适泰片,pstp,4,31264
药品区分性别使用,盆炎净咀嚼片,pyjjjp,4,31614
药品区分性别使用,盆炎净胶囊,pyjjn,76,31345
药品区分性别使用,盆炎净口服液,pyjkfy,4,31347
药品区分性别使用,盆炎净颗粒,pyjkl,4,31346
药品区分性别使用,盆炎净片,pyjp,23,31348
药品区分性别使用,盆炎清栓,pyqs,20,31615
药品区分性别使用,祛腐二香栓,qfexs,2,31620
药品区分性别使用,芪骨胶囊,qgjn,2,31350
药品区分性别使用,千金保孕丸,qjbyw,1,31616
药品区分性别使用,清经胶囊,qjjn,2,31619
药品区分性别使用,芪胶调经颗粒,qjtjkl,2,31351
药品区分性别使用,千金止带丸,qjzdw,13,31352
药品区分性别使用,千金止带丸(水丸),qjzdwsw,3,31353
药品区分性别使用,屈螺酮炔雌醇片,qltgccp,7,31381
药品区分性别使用,屈螺酮炔雌醇片(Ⅱ),qltgccp,2,31382
药品区分性别使用,前列腺素E1乳膏,qlxserg,3,31617
药品区分性别使用,芩苓子阴道灌注液,qlzydgzy,2,31618
药品区分性别使用,七制香附丸,qzxfw,28,31349
药品区分性别使用,壬苯醇醚栓,rbcms,19,31621
药品区分性别使用,乳泉颗粒,rqkl,13,31622
药品区分性别使用,乳酸环丙沙星阴道泡腾片,rshbsxydptp,1,31383
药品区分性别使用,乳酸菌阴道胶囊,rsjydjn,4,31266
药品区分性别使用,乳酸依沙吖啶注射液,rsysadzsy,10,31355
药品区分性别使用,瑞维鲁胺片,rwlap,2,31267
药品区分性别使用,舒尔经胶囊,sejjn,4,31356
药品区分性别使用,舒尔经颗粒,sejkl,3,31357
药品区分性别使用,舒尔经片,sejp,2,31358
药品区分性别使用,缩宫素鼻喷雾剂,sgsbpwj,2,31268
药品区分性别使用,缩宫素注射液,sgszsy,87,31269
药品区分性别使用,生精胶囊,sjjn,4,31623
药品区分性别使用,参茸保胎丸,srbtw,5,31427
药品区分性别使用,生乳灵,srl,9,31624
药品区分性别使用,参茸鹿胎膏,srltg,7,31428
药品区分性别使用,参茸鹿胎丸,srltw,6,31429
药品区分性别使用,生乳片,srp,4,31625
药品区分性别使用,生乳汁,srz,16,31626
药品区分性别使用,嗣育保胎丸,sybtw,1,31627
药品区分性别使用,双唑泰泡腾片,sztptp,4,31384
药品区分性别使用,双唑泰栓,szts,45,31385
药品区分性别使用,双唑泰阴道凝胶,sztydnj,4,31386
药品区分性别使用,双唑泰阴道泡腾片,sztydptp,41,31387
药品区分性别使用,双唑泰阴道膨胀栓,sztydpzs,3,31388
药品区分性别使用,双唑泰阴道软胶囊,sztydrjn,3,31389
药品区分性别使用,胎产金丹,tcjd,1,31629
药品区分性别使用,胎产金丸,tcjw,1,31630
药品区分性别使用,他达拉非片,tdlfp,922,31628
药品区分性别使用,调经白带丸,tjbdw,1,31454
药品区分性别使用,痛经宝颗粒,tjbkl,4,31273
药品区分性别使用,调经补血丸,tjbxw,4,31455
药品区分性别使用,调经促孕丸,tjcyw,13,31456
药品区分性别使用,蹄甲多肽片,tjdtp,13,31391
药品区分性别使用,调经活血胶囊,tjhxjn,5,31307
药品区分性别使用,调经活血片,tjhxp,2,31308
药品区分性别使用,调经化瘀丸,tjhyw,2,31457
药品区分性别使用,痛经胶囊,tjjn,2,31636
药品区分性别使用,调经健胃丸,tjjww,3,31458
药品区分性别使用,痛经口服液,tjkfy,5,31637
药品区分性别使用,痛经灵颗粒,tjlkl,10,31638
药品区分性别使用,痛经宁胶囊,tjnjn,1,31639
药品区分性别使用,痛经宁口服液,tjnkfy,3,31640
药品区分性别使用,痛经宁糖浆,tjntj,1,31641
药品区分性别使用,痛经片,tjp,2,31642
药品区分性别使用,调经祛斑胶囊,tjqbjn,2,31459
药品区分性别使用,调经祛斑片,tjqbp,14,31460
药品区分性别使用,调经祛斑丸,tjqbw,1,31461
药品区分性别使用,痛经软膏,tjrg,1,31643
药品区分性别使用,痛经调理口服液,tjtlkfy,1,31635
药品区分性别使用,调经丸,tjw,17,31462
药品区分性别使用,痛经丸,tjw,10,31644
药品区分性别使用,调经益灵胶囊,tjyljn,1,31467
药品区分性别使用,调经益灵片,tjylp,15,31468
药品区分性别使用,调经益母胶囊,tjymjn,4,31469
药品区分性别使用,调经益母片,tjymp,5,31470
药品区分性别使用,调经养血丸,tjyxw,4,31463
药品区分性别使用,调经养颜胶囊,tjyyjn,4,31464
药品区分性别使用,调经养颜颗粒,tjyykl,5,31465
药品区分性别使用,调经养颜片,tjyyp,10,31466
