耗材代码,一级分类,二级分类,三级分类,医保通用名分类,耗材材质,规格（特征、参数）,医保通用名编号,医保通用名,耗材企业
C0102010021502410414,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002002,贲门球囊扩张导管,苏州达美医疗科技有限公司,,
C0102010021502411323,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002002,贲门球囊扩张导管,常州市久虹医疗器械有限公司,,
C0102010021502412308,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002002,贲门球囊扩张导管,江苏格里特医疗科技有限公司,,
C0102010021502413213,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002002,贲门球囊扩张导管,宁波新跃医疗科技股份有限公司,,
C0102010021502414494,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002002,贲门球囊扩张导管,美迪云（广东）科技有限公司,,
C0102010021502419374,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002002,贲门球囊扩张导管,江苏真由美生物科技有限公司,,
C0102010021502508041,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,025-多级/带导丝,002002,贲门球囊扩张导管,江苏唯德康医疗科技有限公司,,
C0102010021502519601,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,025-多级/带导丝,002002,贲门球囊扩张导管,湖南唯德康医疗科技有限公司,,
C0102010021502608752,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,026-多级/不带导丝,002002,贲门球囊扩张导管,常州乐奥医疗科技股份有限公司,,
C0102010021502613213,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,026-多级/不带导丝,002002,贲门球囊扩张导管,宁波新跃医疗科技股份有限公司,,
C0102020021502302573,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊扩张导管,002-球囊类,15-聚合物,023-单级/带导丝,002003,食道球囊扩张导管,普瑞斯星（常州）医疗器械有限公 司,,
C0102020021502309820,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊扩张导管,002-球囊类,15-聚合物,023-单级/带导丝,002003,食道球囊扩张导管,常州市智业医疗仪器研究所有限公 司,,
C0102020021502311323,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊扩张导管,002-球囊类,15-聚合物,023-单级/带导丝,002003,食道球囊扩张导管,常州市久虹医疗器械有限公司,,
C0102020021502400841,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002003,食道球囊扩张导管,苏州法兰克曼医疗器械有限公司,,
C0102020021502401105,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002003,食道球囊扩张导管,常州贺利氏微创医疗器械有限公司,,
C0102020021502402277,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002003,食道球囊扩张导管,江苏常美医疗器械有限公司,,
C0102020021502403089,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002003,食道球囊扩张导管,库克（中国）医疗贸易有限公司,,
C0102020021502404740,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002003,食道球囊扩张导管,河南驼人贝斯特医疗器械有限公司,,
C0102020021502404937,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002003,食道球囊扩张导管,南微医学科技股份有限公司,,
C0102020021502407120,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002003,食道球囊扩张导管,浙江微度医疗器械有限公司,,
C0102020021502408041,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002003,食道球囊扩张导管,江苏唯德康医疗科技有限公司,,
C0102020021502408752,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002003,食道球囊扩张导管,常州乐奥医疗科技股份有限公司,,
